soil_moisture (%),temperature (°C),humidity (%),rainfall (mm),water_needed (liters)
71,17,36,0,245
71,15,62,5,195
10,35,78,8,470
36,30,70,7,350
71,37,73,10,145
12,20,43,18,360
79,42,44,8,125
36,31,71,16,260
18,19,89,11,400
71,19,52,13,115
46,20,68,14,230
60,17,48,15,150
53,35,82,19,145
33,37,41,0,435
68,19,45,9,170
41,35,47,7,325
61,19,68,17,125
71,24,68,0,245
67,24,39,1,255
61,33,82,0,295
21,31,80,0,495
48,35,68,8,280
11,28,20,12,425
12,23,32,0,540
65,28,70,12,155
68,15,75,19,70
11,33,81,6,485
11,27,51,1,535
63,27,49,5,235
10,18,48,6,490
28,44,68,13,330
11,15,64,17,375
62,31,49,14,150
53,22,35,1,325
41,16,59,9,305
79,42,38,11,95
41,22,37,16,235
77,21,20,7,145
64,40,66,10,180
65,40,85,2,255
26,16,57,5,420
47,36,70,8,285
33,36,82,5,385
78,17,23,8,130
79,41,20,6,145
20,32,27,8,420
25,26,48,17,305
68,15,74,11,150
79,36,22,7,135
12,26,51,7,470
29,19,29,17,285
68,44,53,19,70
45,44,74,14,235
28,41,51,6,400
76,39,69,10,120
28,31,26,19,270
29,30,27,15,305
61,29,84,3,265
42,37,76,5,340
49,29,86,2,335
48,19,78,8,280
10,35,73,9,460
20,28,86,13,370
66,16,70,10,170
59,25,27,17,135
32,33,53,11,330
40,21,54,11,290
51,20,51,12,225
16,42,65,12,400
25,16,35,18,295
69,20,87,18,75
11,32,56,13,415
10,16,73,3,520
57,32,33,12,195
21,44,74,7,425
78,29,67,18,30
46,41,26,11,260
41,33,26,17,225
18,16,52,5,460
28,34,42,17,290
57,39,38,18,135
12,20,38,4,500
29,15,55,8,375
33,38,48,2,415
63,29,79,9,195
42,42,21,18,210
33,44,20,2,415
45,37,66,14,235
47,24,88,0,365
34,33,39,6,370
27,31,30,11,355
75,19,21,16,65
63,43,86,19,95
44,18,31,4,340
70,24,39,3,220
50,38,24,11,240
42,31,56,19,200
77,24,57,17,45
42,31,28,16,230
23,42,72,18,305
30,34,63,8,370
57,38,43,3,285
29,19,49,1,445
17,16,78,3,485
16,20,33,1,510
76,35,28,14,80
26,16,59,1,460
42,27,85,3,360
57,44,44,5,265
68,25,41,6,200
31,25,23,9,355
39,30,45,18,225
47,25,77,18,185
60,33,48,11,190
63,29,56,2,265
17,39,89,12,395
36,37,37,17,250
36,37,61,7,350
30,30,60,14,310
39,25,57,0,405
37,36,53,2,395
73,30,36,7,165
78,22,56,3,180
70,18,44,15,100
57,22,46,9,225
28,18,76,11,350
13,38,50,13,405
44,39,25,13,250
73,17,59,1,225
58,17,31,4,270
26,41,72,4,430
53,43,29,5,285
39,32,64,12,285
55,43,36,8,245
15,40,45,14,385
46,33,81,13,240
33,33,65,6,375
55,35,83,19,135
62,19,21,1,280
69,32,73,6,195
72,42,84,5,190
41,24,70,16,235
42,43,72,1,380
76,36,55,2,200
27,35,45,4,425
34,20,48,4,390
63,15,40,0,285
67,19,30,7,195
76,23,59,11,110
55,26,30,3,295
33,40,55,12,315
41,28,78,14,255
56,16,58,10,220
32,31,73,9,350
75,28,74,2,205
36,40,43,13,290
11,27,41,15,395
26,41,88,9,380
42,23,75,9,300
18,40,52,11,400
52,39,55,8,260
57,29,39,0,315
48,39,81,4,320
51,36,45,19,155
35,29,85,7,355
59,38,59,10,205
34,44,36,11,320
33,25,20,0,435
22,30,80,19,300
69,43,62,10,155
16,31,61,4,480
66,40,44,14,130
45,18,58,4,335
54,15,54,11,220
29,22,22,4,415
74,31,63,16,70
17,17,70,16,355
25,43,31,11,365
23,34,38,14,345
24,29,63,14,340
75,29,78,5,175
41,38,68,11,285
72,36,80,19,50
60,28,36,17,130
34,40,76,13,300
67,42,74,1,255
72,37,66,8,160
71,28,31,4,205
31,38,81,19,255
67,16,27,0,265
67,27,40,2,245
58,40,89,5,260
61,28,44,4,255
51,41,31,4,305
79,38,34,0,205
24,33,78,16,320
63,21,45,18,105
69,17,45,13,125
17,29,66,11,405
62,37,51,9,200
69,28,29,19,65
14,25,35,17,360
77,29,36,10,115
15,42,42,1,515
56,27,45,17,150
64,32,26,6,220
49,40,33,14,215
61,20,26,10,195
25,17,28,17,305
22,33,67,11,380
39,29,78,5,355
28,39,58,19,270
26,37,37,12,350
72,19,78,19,50
28,42,36,15,310
67,24,33,17,95
64,21,50,9,190
71,39,43,7,175
32,31,79,17,270
18,21,64,0,510
21,36,22,7,425
10,40,56,5,500
67,44,62,4,225
10,26,59,14,410
43,39,74,14,245
57,31,58,1,305
10,27,34,0,550
25,34,23,10,375
70,39,44,9,160
73,18,32,17,65
72,24,52,17,70
78,17,35,16,50
31,23,61,7,375
76,27,85,14,80
35,32,74,7,355
25,29,61,16,315
60,18,53,11,190
66,29,49,7,200
38,36,32,13,280
78,16,32,3,180
56,29,37,0,320
71,22,51,0,245
78,22,58,18,30
25,31,65,15,325
57,26,48,13,185
48,33,81,15,210
42,24,81,4,350
32,23,76,8,360
19,19,35,1,495
78,20,75,17,40
43,34,29,5,335
61,40,49,8,215
19,16,44,0,505
28,41,24,8,380
67,38,84,15,115
10,41,68,12,430
78,27,22,8,130
13,20,64,12,415
25,19,33,8,395
33,39,49,10,335
11,15,87,3,515
41,35,37,1,385
33,36,81,5,385
21,35,56,13,365
59,20,44,3,275
44,20,67,5,330
42,37,84,18,210
42,30,72,5,340
70,18,34,1,240
60,44,68,17,130
52,25,87,12,220
21,44,31,8,415
76,44,78,18,40
74,44,56,12,110
42,38,80,10,290
49,37,62,0,355
52,23,89,6,280
53,37,58,14,195
38,17,75,0,410
22,33,82,11,380
21,22,65,6,435
55,19,30,14,185
11,18,81,18,365
44,38,44,0,380
17,20,71,16,355
35,16,23,16,265
43,34,78,2,365
16,42,39,11,410
77,25,82,5,165
67,18,73,10,165
38,29,76,2,390
45,20,60,7,305
30,36,22,13,320
45,31,25,13,245
19,44,24,9,415
33,38,24,1,425
73,20,73,13,105
58,33,66,8,230
45,44,68,2,355
33,39,28,7,365
32,16,39,15,290
71,29,80,1,235
46,25,54,5,320
21,22,69,11,385
64,40,81,4,240
22,33,36,1,480
32,27,22,15,290
39,26,51,4,365
26,19,32,14,330
71,20,87,11,135
22,40,33,3,460
68,36,30,14,120
28,18,75,10,360
58,33,86,15,160
21,34,48,5,445
70,15,28,13,120
28,34,86,17,290
18,31,44,11,400
37,26,61,10,315
61,29,28,12,175
25,15,59,10,375
78,40,44,15,60
21,28,24,14,355
34,20,30,14,290
61,19,78,3,265
62,44,57,10,190
32,25,24,18,260
25,18,67,14,335
66,27,37,3,240
48,25,89,12,240
62,17,56,18,110
51,15,79,1,335
67,20,67,13,135
48,32,47,3,330
23,38,88,15,335
14,24,59,19,340
44,19,64,13,250
27,37,81,14,325
18,24,77,2,490
67,26,86,7,195
26,16,75,15,320
16,27,59,9,430
55,22,59,3,295
22,16,52,17,320
49,34,25,1,345
51,15,38,16,185
18,19,59,12,390
59,23,78,3,275
36,31,78,10,320
75,23,67,6,165
14,25,60,11,420
38,29,32,9,320
46,38,64,6,310
47,20,72,12,245
17,37,61,6,455
74,17,82,16,70
26,44,46,9,380
54,31,57,9,240
13,19,79,3,505
45,44,26,19,185
79,42,24,3,175
40,26,64,6,340
28,32,77,0,460
70,28,50,11,140
63,35,42,12,165
48,38,61,9,270
28,25,29,14,320
48,23,51,12,240
76,16,72,8,140
54,26,49,8,250
22,17,58,14,350
